App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Review_group
CB Frequencies,TOOLS,0.0,5,1.4M,100+,Paid,$0.99,Everyone,Tools,"December 24, 2015",1.0,4.0.3 and up,"[0,23)"
BC Hospital Wait Times,MEDICAL,1.0,8,1.2M,500+,Free,0,Everyone,Medical,"January 19, 2016",1.2,4.1 and up,"[0,23)"
Inf VPN - Global Proxy & Unlimited Free WIFI VPN,TOOLS,1.0,61445,7.8M,"1,000,000+",Free,0,Everyone,Tools,"July 26, 2018",1.9.734,4.1 and up,"[26432,max)"
Bualuang mBanking,FINANCE,0.0,48445,10M,"5,000,000+",Free,0,Everyone,Finance,"July 16, 2018",2.6.0,4.0.3 and up,"[26432,max)"
Alpha Bank CY,FINANCE,1.0,39,20M,"1,000+",Free,0,Everyone,Finance,"March 20, 2018",1.11,4.3 and up,"[23,889)"
Esporte Interativo - Notícias e Resultados Ao Vivo,SPORTS,1.0,4600,21M,"500,000+",Free,0,Everyone,Sports,"January 14, 2018",6.2.6,4.1 and up,"[889,26432)"
Talking Ben the Dog,ENTERTAINMENT,1.0,1633682,57M,"100,000,000+",Free,0,Everyone,Entertainment,"July 3, 2018",3.5.2.2,4.1 and up,"[26432,max)"
Word Search Games in english,FAMILY,1.0,63186,16M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,"July 12, 2018",7.5,4.0.3 and up,"[26432,max)"
İşCep,FINANCE,1.0,381788,32M,"10,000,000+",Free,0,Everyone,Finance,"August 2, 2018",3.22.0,4.1 and up,"[26432,max)"
SUDOKU,LIBRARIES_AND_DEMO,1.0,923,4.3M,"100,000+",Free,0,Everyone,Libraries & Demo,"October 15, 2015",3.1,2.3 and up,"[889,26432)"
Superhero Doctor 3 ER Surgery,FAMILY,1.0,2801,50M,"500,000+",Free,0,Everyone,Casual,"March 22, 2017",1.0,4.0.3 and up,"[889,26432)"
FK Bregalnica Štip,SPORTS,1.0,0,26M,1+,Free,0,Everyone,Sports,"February 24, 2018",1.0,4.1 and up,"[0,23)"
EC Sampler,PRODUCTIVITY,1.0,0,30M,1+,Free,0,Everyone,Productivity,"July 31, 2018",1.4,4.0.3 and up,"[0,23)"
Hopper - Watch & Book Flights,TRAVEL_AND_LOCAL,1.0,52029,Varies with device,"5,000,000+",Free,0,Everyone,Travel & Local,"June 29, 2018",Varies with device,5.0 and up,"[26432,max)"
AF Nutrition - Integratori,HEALTH_AND_FITNESS,1.0,6,19M,100+,Free,0,Everyone,Health & Fitness,"August 2, 2018",1.3,4.1 and up,"[0,23)"
BU Questrom Launch,TRAVEL_AND_LOCAL,1.0,3,10M,100+,Free,0,Everyone,Travel & Local,"July 17, 2015",1.0.4,3.0 and up,"[0,23)"
News 8 San Diego,NEWS_AND_MAGAZINES,1.0,1137,11M,"50,000+",Free,0,Everyone,News & Magazines,"July 23, 2018",5.5.0,4.3 and up,"[889,26432)"
GPS Traffic Speedcam Route Planner by ViaMichelin,MAPS_AND_NAVIGATION,1.0,63920,29M,"5,000,000+",Free,0,Everyone,Maps & Navigation,"July 28, 2018",7.16.8,4.0.3 and up,"[26432,max)"
Al Quran (Tafsir & by Word),BOOKS_AND_REFERENCE,1.0,57400,14M,"500,000+",Free,0,Everyone,Books & Reference,"July 30, 2018",1.6.5,4.0 and up,"[26432,max)"
CG BILASPUR CARNIVAL,EVENTS,0.0,59,1.8M,"5,000+",Free,0,Everyone,Events,"April 11, 2018",1.5,4.0 and up,"[23,889)"
FilmoraGo - Free Video Editor,VIDEO_PLAYERS,1.0,238459,35M,"10,000,000+",Free,0,Everyone,Video Players & Editors,"June 6, 2018",3.1.4,4.2 and up,"[26432,max)"
Black Classic DW Watch Theme,PERSONALIZATION,1.0,1,2.9M,100+,Free,0,Everyone,Personalization,"July 25, 2018",1.1.1,4.0 and up,"[0,23)"
Doctr – ER wait times in Canada,MEDICAL,1.0,980,Varies with device,"50,000+",Free,0,Everyone,Medical,"August 4, 2018",2.2.2926,Varies with device,"[889,26432)"
Soccer Clubs Logo Quiz,GAME,1.0,21661,16M,"1,000,000+",Free,0,Everyone,Trivia,"May 24, 2018",1.3.81,4.0 and up,"[889,26432)"
Bar BQ Night Middlesbrough,SHOPPING,1.0,0,19M,100+,Free,0,Teen,Shopping,"July 2, 2018",5.13.1,4.1 and up,"[0,23)"
Chess Free,FAMILY,1.0,23772,17M,"5,000,000+",Free,0,Everyone,Board;Brain Games,"August 2, 2017",1.15.3028.0,2.3 and up,"[889,26432)"
CircleCI Viewer,PRODUCTIVITY,1.0,16,3.2M,"1,000+",Free,0,Everyone,Productivity,"August 23, 2017",1.3.2,4.4 and up,"[0,23)"
Davis's Drug Guide for Nurses,MEDICAL,1.0,572,44M,"50,000+",Free,0,Everyone,Medical,"July 13, 2018",4.3.2.315,4.4 and up,"[23,889)"
Aura Hair Group BC,BEAUTY,1.0,0,Varies with device,100+,Free,0,Everyone,Beauty,"April 23, 2018",Varies with device,4.0.3 and up,"[0,23)"
WatchESPN,SPORTS,1.0,288809,6.6M,"10,000,000+",Free,0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up,"[26432,max)"
3D Color by Number with Voxels,FAMILY,1.0,5481,69M,"500,000+",Free,0,Everyone,Entertainment,"July 7, 2018",1.3,4.4 and up,"[889,26432)"
Safe Ag Systems™,BUSINESS,1.0,3,36M,100+,Free,0,Everyone,Business,"July 22, 2018",2.0.3,4.0.3 and up,"[0,23)"
FJ Toolkit,TOOLS,1.0,1,2.5M,100+,Paid,$1.49,Everyone,Tools,"December 21, 2015",14,4.0 and up,"[0,23)"
Da Fit,SPORTS,0.0,1151,8.3M,"10,000+",Free,0,Everyone,Sports,"July 23, 2018",v1.0.0-195-gb96d9f2,4.4 and up,"[889,26432)"
AV HD Video Player,FAMILY,0.0,6,23M,"1,000+",Free,0,Everyone,Entertainment,"January 19, 2018",1.0,4.4 and up,"[0,23)"
Start the Hunt for the Lost Treasure,FAMILY,0.0,302,8.1M,"10,000+",Free,0,Everyone,Puzzle;Brain Games,"September 13, 2017",1.4,4.0.3 and up,"[23,889)"
The green alien dance,ENTERTAINMENT,0.0,6979,12M,"1,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",1.03,4.0 and up,"[889,26432)"
Ethical Hacking,FAMILY,1.0,128,3.2M,"10,000+",Free,0,Everyone,Education,"July 9, 2018",1.3,4.0.3 and up,"[23,889)"
Alex Fuel Calculator for EK,TOOLS,1.0,19,3.3M,500+,Free,0,Everyone,Tools,"June 15, 2018",1.8,2.1 and up,"[0,23)"
Major Mayhem,GAME,1.0,520962,39M,"10,000,000+",Free,0,Teen,Action,"June 28, 2017",108,4.0 and up,"[26432,max)"
LightMeter (noAds),PHOTOGRAPHY,1.0,617,12M,"10,000+",Paid,$1.99,Everyone,Photography,"November 22, 2016",1.5.10.NA,3.2 and up,"[23,889)"
Manga Net – Best Online Manga Reader,COMICS,1.0,1010,11M,"50,000+",Free,0,Mature 17+,Comics,"July 7, 2018",1.5,4.1 and up,"[889,26432)"
ReadEra – free ebook reader,BOOKS_AND_REFERENCE,1.0,47303,21M,"1,000,000+",Free,0,Everyone,Books & Reference,"June 2, 2018",18.05.31+530,4.1 and up,"[26432,max)"
DU Browser Mini(Small&Fast),TOOLS,1.0,20941,2.0M,"1,000,000+",Free,0,Everyone,Tools,"December 23, 2016",1.12.23,4.0 and up,"[889,26432)"
Arabic Alphabet Alif Ba Ta Wooden Blocks,FAMILY,1.0,66,17M,"10,000+",Free,0,Everyone,Educational;Education,"February 25, 2018",1.0.0,2.3 and up,"[23,889)"
Real Basketball,SPORTS,1.0,1605267,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"December 5, 2016",Varies with device,Varies with device,"[26432,max)"
Candy Crush Soda Saga,GAME,1.0,6198563,67M,"100,000,000+",Free,0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,"[26432,max)"
The World Ends With You,GAME,1.0,4108,13M,"10,000+",Paid,$17.99,Everyone 10+,Arcade,"December 14, 2015",1.0.4,4.0 and up,"[889,26432)"
Feed Baby - Baby Tracker,PARENTING,1.0,76795,18M,"1,000,000+",Free,0,Everyone,Parenting,"August 1, 2018",2.0.6,4.1 and up,"[26432,max)"
"Easy Resume Builder, Resume help, Curriculum vitae",TOOLS,1.0,996,10M,"50,000+",Free,0,Everyone,Tools,"September 28, 2017",2.3,4.0.3 and up,"[889,26432)"
Clear,TOOLS,0.0,24151,15M,"10,000,000+",Free,0,Everyone,Tools,"August 6, 2018",11.7.0,4.1 and up,"[889,26432)"
AE GTO Racing,GAME,0.0,6988,35M,"100,000+",Free,0,Everyone 10+,Racing,"September 24, 2015",Varies with device,Varies with device,"[889,26432)"
OpenGL-ES Info,TOOLS,1.0,249,626k,"10,000+",Free,0,Everyone,Tools,"August 8, 2013",1.4,1.6 and up,"[23,889)"
AH Connect (Adventist Health),HEALTH_AND_FITNESS,0.0,5,59M,"1,000+",Free,0,Everyone,Health & Fitness,"January 23, 2018",3.5.1,4.4 and up,"[0,23)"
Ay Hasnain k Nana Milad Naat,BOOKS_AND_REFERENCE,1.0,72,1.9M,"10,000+",Free,0,Everyone,Books & Reference,"December 21, 2015",1.0,2.3 and up,"[23,889)"
The Visitor,GAME,1.0,39895,25M,"5,000,000+",Free,0,Mature 17+,Adventure,"January 2, 2018",1.2.3,4.1 and up,"[26432,max)"
Radarbot Free: Speed Camera Detector & Speedometer,MAPS_AND_NAVIGATION,1.0,44348,11M,"5,000,000+",Free,0,Everyone,Maps & Navigation,"July 6, 2018",6.2.3,4.1 and up,"[26432,max)"
CT Checkout,FINANCE,1.0,1,8.4M,50+,Free,0,Everyone,Finance,"April 20, 2017",1.2,4.2 and up,"[0,23)"
Robocar X Ray,GAME,1.0,3432,99M,"1,000,000+",Free,0,Mature 17+,Action,"January 23, 2017",1.0,2.3 and up,"[889,26432)"
Funny videos for whatsapp,VIDEO_PLAYERS,1.0,3066,9.0M,"1,000,000+",Free,0,Everyone,Video Players & Editors,"December 17, 2017",1.7,4.0.3 and up,"[889,26432)"
Glitter Color By Number - Glitter Number Coloring,FAMILY,0.0,1380,6.9M,"500,000+",Free,0,Everyone,Entertainment,"July 18, 2018",1.6,4.0 and up,"[889,26432)"
Coloring & Learn,FAMILY,1.0,12753,51M,"5,000,000+",Free,0,Everyone,Educational;Creativity,"July 17, 2018",1.49,4.0.3 and up,"[889,26432)"
Tropical Beach Live Wallpaper,PERSONALIZATION,0.0,11343,8.4M,"1,000,000+",Free,0,Everyone,Personalization,"May 22, 2018",18.0,4.1 and up,"[889,26432)"
Ez Texting,BUSINESS,0.0,49,51k,"10,000+",Free,0,Everyone,Business,"January 18, 2012",0.59,2.1 and up,"[23,889)"
Train driving simulator,FAMILY,0.0,91645,36M,"10,000,000+",Free,0,Teen,Simulation,"May 8, 2018",1.94,4.1 and up,"[26432,max)"
Advanced EX for HYUNDAI,TOOLS,0.0,168,170k,"5,000+",Paid,$4.99,Everyone,Tools,"March 14, 2015",1.10,1.6 and up,"[23,889)"
Plants vs. Zombies™ 2,FAMILY,1.0,567632,15M,"10,000,000+",Free,0,Everyone 10+,Casual,"June 12, 2018",6.8.1,4.1 and up,"[26432,max)"
AX!OM,LIFESTYLE,1.0,5,28M,50+,Free,0,Everyone,Lifestyle,"February 16, 2017",1.3,4.1 and up,"[0,23)"
パーリーゲイツ公式通販｜EJ STYLE（イージェイスタイル）,SHOPPING,1.0,1,9.3M,100+,Free,0,Everyone,Shopping,"November 16, 2017",3.0,4.0.3 and up,"[0,23)"
D.C. Driving/Walking Tours,TRAVEL_AND_LOCAL,1.0,0,32M,50+,Paid,$4.99,Everyone,Travel & Local,"July 27, 2018",3.8.0,4.4 and up,"[0,23)"
Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,1.0,82,4.9M,"10,000+",Free,0,Everyone,Food & Drink,"June 23, 2018",1.1,4.1 and up,"[23,889)"
Learn SQL,EDUCATION,1.0,19277,5.3M,"1,000,000+",Free,0,Everyone,Education,"December 25, 2017",3.4.2,4.0 and up,"[889,26432)"
BU Students' Rep. Council,FAMILY,1.0,38,5.3M,500+,Free,0,Everyone,Education,"July 5, 2018",5.45.0_713,4.0 and up,"[23,889)"
"Talkie Pro - Wi-Fi Calling, Chats, File Sharing",COMMUNICATION,1.0,201,Varies with device,"1,000+",Paid,$2.99,Everyone,Communication,"January 6, 2018",Varies with device,Varies with device,"[23,889)"
Masha and the Bear: Evolution,FAMILY,1.0,2062,42M,"500,000+",Free,0,Everyone,Strategy;Education,"June 14, 2018",1.0.9,4.0 and up,"[889,26432)"
FiSwitch,TOOLS,1.0,615,2.0M,"10,000+",Paid,$1.99,Everyone,Tools,"July 24, 2018",5.2,5.0 and up,"[23,889)"
Dollhouse Decorating Games,LIFESTYLE,1.0,18968,32M,"5,000,000+",Free,0,Teen,Lifestyle,"April 26, 2018",5.1,4.1 and up,"[889,26432)"
MiniInTheBox Online Shopping,SHOPPING,0.0,34171,Varies with device,"1,000,000+",Free,0,Everyone,Shopping,"July 24, 2018",Varies with device,Varies with device,"[26432,max)"
TownWiFi | Wi-Fi Everywhere,COMMUNICATION,0.0,2372,58M,"500,000+",Free,0,Everyone,Communication,"August 2, 2018",4.2.1,4.2 and up,"[889,26432)"
Boxed Wholesale,SHOPPING,0.0,6380,Varies with device,"1,000,000+",Free,0,Everyone,Shopping,"August 2, 2018",Varies with device,Varies with device,"[889,26432)"
Results for CT Lottery,FAMILY,1.0,86,8.6M,"5,000+",Free,0,Teen,Entertainment,"March 11, 2017",5.1,4.1 and up,"[23,889)"
Translate: text & voice translator,TOOLS,1.0,122010,7.3M,"5,000,000+",Free,0,Everyone,Tools,"July 14, 2018",Translator 10.9.2,4.0.3 and up,"[26432,max)"
Wallpapers Volvo FH 16 Trucks,PERSONALIZATION,1.0,13,15M,"1,000+",Free,0,Teen,Personalization,"June 18, 2016",1.0,2.3.3 and up,"[0,23)"
AQ Service,BUSINESS,1.0,4,17M,10+,Free,0,Everyone,Business,"August 28, 2017",1.0,4.4 and up,"[0,23)"
DN eAvis,NEWS_AND_MAGAZINES,0.0,61,4.1M,"10,000+",Free,0,Everyone,News & Magazines,"February 1, 2017",2.0.0,4.1 and up,"[23,889)"
Simple Habit Meditation,HEALTH_AND_FITNESS,1.0,11689,20M,"500,000+",Free,0,Everyone,Health & Fitness,"July 27, 2018",1.29.15,4.4 and up,"[889,26432)"
EU Council,COMMUNICATION,1.0,7,19M,"1,000+",Free,0,Everyone,Communication,"July 4, 2018",1.3.0,4.4 and up,"[0,23)"
XXX DISTILLERY,BUSINESS,1.0,509,3.2M,"100,000+",Free,0,Everyone,Business,"August 2, 2017",1.1.0,4.0 and up,"[23,889)"
BL Driver,MAPS_AND_NAVIGATION,0.0,230,12M,"10,000+",Free,0,Everyone,Maps & Navigation,"July 13, 2018",2.12.1,4.1 and up,"[23,889)"
Evolve CP Calc. for PokemonGo,TOOLS,0.0,116,3.3M,"10,000+",Free,0,Everyone,Tools,"December 18, 2016",2.6,4.4 and up,"[23,889)"
Blagues et Histoires Drôles,FAMILY,0.0,859,5.3M,"100,000+",Free,0,Teen,Entertainment,"February 18, 2017",0.0.2,4.1 and up,"[23,889)"
Helix Jump,GAME,1.0,1497361,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,"[26432,max)"
BL ONLINE PERSONAL TRAINING,HEALTH_AND_FITNESS,1.0,0,41M,5+,Free,0,Everyone,Health & Fitness,"August 29, 2017",BL ONLINE PERSONAL TRAINING 7.9.0,4.1 and up,"[0,23)"
Photo BG Changer,PHOTOGRAPHY,0.0,11,17M,"1,000+",Free,0,Everyone,Photography,"February 21, 2018",1.3,4.1 and up,"[0,23)"
CS Interview FAQs,FAMILY,1.0,99,1.1M,"10,000+",Free,0,Everyone,Education,"February 11, 2013",1.13,2.2 and up,"[23,889)"
Weather Crave,WEATHER,1.0,133338,44M,"5,000,000+",Free,0,Everyone,Weather,"June 26, 2018",6.1.3,4.1 and up,"[26432,max)"
Theme for Galaxy Note FE Launcher | Live Wallpaper,PERSONALIZATION,1.0,2,26M,100+,Free,0,Everyone,Personalization,"December 22, 2017",1.0,4.0 and up,"[0,23)"
Offroad Outlaws,GAME,1.0,29168,Varies with device,"1,000,000+",Free,0,Everyone,Racing,"May 29, 2018",2.0.1,4.1 and up,"[26432,max)"
EB Cash Collections,BUSINESS,1.0,1,4.3M,5+,Free,0,Everyone,Business,"July 31, 2018",1.10,4.4 and up,"[0,23)"
EV Trip Optimizer for Tesla,AUTO_AND_VEHICLES,0.0,46,6.6M,"1,000+",Free,0,Everyone,Auto & Vehicles,"June 26, 2018",3.4,4.1 and up,"[23,889)"
DW Witness,BUSINESS,0.0,6,3.5M,500+,Free,0,Everyone,Business,"May 14, 2018",1.1.2,5.0 and up,"[0,23)"
EP Kalkulator el. energije,TOOLS,1.0,13,1.5M,100+,Free,0,Everyone,Tools,"February 20, 2015",4.0,4.0 and up,"[0,23)"
Canvas FL,FAMILY,1.0,36,9.4M,"1,000+",Free,0,Teen,Education,"June 25, 2018",3.8.0,4.1 and up,"[23,889)"
"SayHi Chat, Meet New People",SOCIAL,1.0,423105,Varies with device,"10,000,000+",Free,0,Mature 17+,Social,"July 9, 2018",Varies with device,Varies with device,"[26432,max)"
Au Mobile: Audition Chính Hiệu,GAME,0.0,85278,23M,"1,000,000+",Free,0,Mature 17+,Music,"July 17, 2018",1.8.0716,4.0.3 and up,"[26432,max)"
Animal Jam - Play Wild!,FAMILY,1.0,361970,58M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"August 2, 2018",28.0.14,4.1 and up,"[26432,max)"
WeFi - Free Fast WiFi Connect & Find Wi-Fi Map,COMMUNICATION,0.0,13469,5.1M,"1,000,000+",Free,0,Everyone,Communication,"June 5, 2018",4.7.0.2200000,4.0 and up,"[889,26432)"
AX Selfie,LIFESTYLE,1.0,10,3.4M,500+,Free,0,Everyone,Lifestyle,"August 31, 2015",1.0.0,4.0 and up,"[0,23)"
Last Empire - War Z: Strategy,FAMILY,1.0,853495,78M,"50,000,000+",Free,0,Teen,Strategy,"August 2, 2018",1.0.208,4.0.3 and up,"[26432,max)"
PhotoWonder: Pro Beauty Photo Editor Collage Maker,PHOTOGRAPHY,1.0,852649,43M,"50,000,000+",Free,0,Teen,Photography,"June 26, 2018",4.1.0.1,4.2 and up,"[26432,max)"
CHRONO TRIGGER (Upgrade Ver.),FAMILY,0.0,11250,6.3M,"100,000+",Paid,$9.99,Everyone 10+,Role Playing,"June 12, 2018",2.0.4,4.2 and up,"[889,26432)"
I am Nose Doctor -Save my Nose,FAMILY,1.0,3133,34M,"500,000+",Free,0,Everyone,Casual,"January 4, 2016",1.1.1,3.1 and up,"[889,26432)"
FieldBi FR Offline,BUSINESS,1.0,2,6.8M,100+,Free,0,Everyone,Business,"August 6, 2018",2.1.8,4.1 and up,"[0,23)"
CV (Curriculum Vitae / Resume) Maker,BUSINESS,1.0,4,4.4M,"5,000+",Free,0,Everyone,Business,"December 27, 2017",1.1,4.0.3 and up,"[0,23)"
Swift for Facebook Lite,SOCIAL,1.0,9562,5.8M,"500,000+",Free,0,Teen,Social,"May 31, 2018",4.1.0,Varies with device,"[889,26432)"
Flow Free,GAME,1.0,1295557,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,"[26432,max)"
Calculator with Percent (Free),TOOLS,1.0,48211,7.4M,"1,000,000+",Free,0,Everyone,Tools,"November 18, 2017",32.1,4.1 and up,"[26432,max)"
The Coupons App,SHOPPING,1.0,181990,Varies with device,"10,000,000+",Free,0,Everyone,Shopping,"April 27, 2018",Varies with device,Varies with device,"[26432,max)"
Best CG Backgrounds,FAMILY,0.0,8,3.7M,500+,Free,0,Everyone,Entertainment,"May 20, 2018",8.0,4.0.3 and up,"[0,23)"
Drugs Dz - Algeria,MEDICAL,1.0,187,Varies with device,"10,000+",Free,0,Everyone,Medical,"July 29, 2017",0.0.7,Varies with device,"[23,889)"
Run R Script - Online Statistical Data Analysis,FAMILY,0.0,8,6.2M,"1,000+",Free,0,Everyone,Education,"April 4, 2018",1.1 Build 226,2.2 and up,"[0,23)"
EG Mantenimiento,BUSINESS,1.0,1,25M,50+,Free,0,Teen,Business,"May 30, 2018",0.0.3,4.1 and up,"[0,23)"
FJ 4x4 Cruiser Snow Driving,FAMILY,1.0,1619,43M,"500,000+",Free,0,Everyone,Simulation,"June 4, 2018",1.3,4.0 and up,"[889,26432)"
Chuck E.'s Skate Universe,FAMILY,0.0,94910,44M,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,"January 10, 2017",1.12,4.3 and up,"[26432,max)"
ETERNITY WARRIORS 2,GAME,1.0,568391,5.2M,"5,000,000+",Free,0,Teen,Action,"July 1, 2014",4.3.1,2.1 and up,"[26432,max)"
Toddler Kids Puzzles PUZZINGO,FAMILY,1.0,14014,60M,"1,000,000+",Free,0,Everyone,Education;Education,"July 6, 2018",7.32,4.0.3 and up,"[889,26432)"
HD Themes Toyota Cruiser 100VX,PERSONALIZATION,1.0,2,16M,100+,Free,0,Teen,Personalization,"September 30, 2016",1.0,2.3.3 and up,"[0,23)"
Little Eye Surgery Simulator - ER Doctor Game,FAMILY,1.0,12,19M,"1,000+",Free,0,Teen,Casual,"April 20, 2018",1.0,2.3 and up,"[0,23)"
P XPERIA Theme™ | Design For SONY 🎨,PERSONALIZATION,1.0,147,16M,"10,000+",Free,0,Everyone,Personalization,"May 28, 2018",1.0.0,4.4 and up,"[23,889)"
ScriptSave WellRx Rx Discounts,MEDICAL,0.0,700,37M,"100,000+",Free,0,Everyone,Medical,"June 21, 2018",3.3.0,4.4 and up,"[23,889)"
Traffic signs BD,COMMUNICATION,1.0,7,5.3M,500+,Free,0,Everyone,Communication,"October 8, 2015",1.0,4.1 and up,"[0,23)"
BaBe - Read News,NEWS_AND_MAGAZINES,1.0,355921,17M,"10,000,000+",Free,0,Teen,News & Magazines,"August 1, 2018",9.1.4,4.0 and up,"[26432,max)"
Fruit Ninja Classic,GAME,1.0,85468,36M,"1,000,000+",Paid,$0.99,Everyone,Arcade,"June 8, 2018",2.4.1.485300,4.0.3 and up,"[26432,max)"
BK Video Status,FAMILY,1.0,13,2.1M,100+,Free,0,Everyone,Entertainment,"July 7, 2018",2.3,4.4 and up,"[0,23)"
Aster DM Healthcare,MEDICAL,0.0,32,8.5M,"5,000+",Free,0,Everyone,Medical,"November 21, 2017",1.5,4.0.3 and up,"[23,889)"
OurTime Dating for Singles 50+,DATING,0.0,2519,5.0M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,"[889,26432)"
Bloomberg: Market & Financial News,NEWS_AND_MAGAZINES,1.0,61692,27M,"10,000,000+",Free,0,Everyone,News & Magazines,"July 25, 2018",5.9.1.1347176.a3ca6ab274,4.4 and up,"[26432,max)"
Wi-Fi settings shortcut,TOOLS,1.0,479,29k,"50,000+",Free,0,Everyone,Tools,"December 13, 2013",1.4,1.6 and up,"[23,889)"
Experian - Free Credit Report,FINANCE,1.0,23130,46M,"1,000,000+",Free,0,Everyone,Finance,"July 12, 2018",2.1.4,4.2 and up,"[889,26432)"
"Ew, the small alien",GAME,1.0,5,Varies with device,10+,Free,0,Everyone,Adventure,"January 21, 2017",Varies with device,2.3 and up,"[0,23)"
Meditation Studio,HEALTH_AND_FITNESS,1.0,1026,29M,"10,000+",Paid,$3.99,Everyone,Health & Fitness,"May 15, 2018",1.0.6,4.3 and up,"[889,26432)"
Dinosaurs Coloring Pages,EDUCATION,1.0,390,41M,"500,000+",Free,0,Everyone,Education;Education,"February 3, 2018",1.1.6,4.0 and up,"[23,889)"
Messenger – Text and Video Chat for Free,COMMUNICATION,0.0,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,"[26432,max)"
Fake Call - Fake Caller ID,PRODUCTIVITY,1.0,154668,Varies with device,"10,000,000+",Free,0,Everyone,Productivity,"August 2, 2018",Varies with device,Varies with device,"[26432,max)"
Teacher's Gradebook - Additio,EDUCATION,1.0,3241,16M,"100,000+",Free,0,Everyone,Education,"August 1, 2018",4.8.2,4.0.3 and up,"[889,26432)"
Klart.se - Sweden's best weather,WEATHER,0.0,7623,19M,"1,000,000+",Free,0,Everyone,Weather,"July 11, 2018",3.18.5,4.4 and up,"[889,26432)"
MegaNDS (NDS Emulator),GAME,0.0,2218,11M,"500,000+",Free,0,Everyone,Arcade,"October 18, 2017",2.0,4.0 and up,"[889,26432)"
Verdad o Reto,SOCIAL,0.0,826,5.1M,"500,000+",Free,0,Teen,Social,"May 10, 2018",2.0,4.1 and up,"[23,889)"
Fire Emblem Heroes,FAMILY,1.0,407694,Varies with device,"5,000,000+",Free,0,Teen,Simulation,"July 19, 2018",2.7.1,4.2 and up,"[26432,max)"
Burger King Italia,LIFESTYLE,0.0,4160,30M,"500,000+",Free,0,Everyone,Lifestyle,"July 6, 2018",2.3.6,4.0.3 and up,"[889,26432)"
Ulysse Speedometer Pro,AUTO_AND_VEHICLES,1.0,4140,Varies with device,"50,000+",Paid,$1.99,Everyone,Auto & Vehicles,"May 13, 2018",Varies with device,Varies with device,"[889,26432)"
EF App,BUSINESS,1.0,8,20M,100+,Free,0,Everyone,Business,"January 23, 2017",1.0.5,4.4 and up,"[0,23)"
We Heart It,SOCIAL,1.0,637309,Varies with device,"10,000,000+",Free,0,Teen,Social,"July 18, 2018",Varies with device,Varies with device,"[26432,max)"
Tiny Archers,GAME,1.0,80678,Varies with device,"5,000,000+",Free,0,Mature 17+,Action,"May 25, 2018",Varies with device,Varies with device,"[26432,max)"
BH Connect,SOCIAL,1.0,0,32M,1+,Free,0,Teen,Social,"March 22, 2018",1.4.4,4.0.3 and up,"[0,23)"
"Cash, Inc. Money Clicker Game & Business Adventure",GAME,1.0,549720,85M,"10,000,000+",Free,0,Everyone,Simulation,"July 19, 2018",2.1.1.4.0,4.4 and up,"[26432,max)"
Mackolik Live Results,SPORTS,0.0,188834,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"July 24, 2018",Varies with device,Varies with device,"[26432,max)"
Ei Somoy & Dainik Sangbad & Statesman (PDF),NEWS_AND_MAGAZINES,0.0,4,5.3M,100+,Free,0,Everyone,News & Magazines,"July 25, 2018",25072018,4.0 and up,"[0,23)"
Name Art DP - Focus n Filter Text 2018,ART_AND_DESIGN,1.0,132,7.7M,"10,000+",Free,0,Everyone,Art & Design,"January 4, 2018",1,4.1 and up,"[23,889)"
DV Statistics,SOCIAL,1.0,6,2.7M,100+,Free,0,Everyone,Social,"October 8, 2015",1.2,4.0.3 and up,"[0,23)"
Moovit: Bus Time & Train Time Live Info,MAPS_AND_NAVIGATION,1.0,617477,Varies with device,"10,000,000+",Free,0,Everyone,Maps & Navigation,"August 5, 2018",Varies with device,Varies with device,"[26432,max)"
Diabetes mellitus (DM) from zero to hero,MEDICAL,1.0,18,3.0M,"1,000+",Free,0,Everyone,Medical,"January 17, 2018",1.0,4.3 and up,"[0,23)"
Kids Educational :All in One,FAMILY,1.0,1455,8.9M,"500,000+",Free,0,Everyone,Education;Education,"February 1, 2018",2.7,2.3 and up,"[889,26432)"
Offroad Car H,FAMILY,1.0,1960,87M,"100,000+",Free,0,Everyone,Simulation,"October 6, 2017",1.4,2.3 and up,"[889,26432)"
Club,MEDICAL,1.0,3786,28M,"50,000+",Free,0,Everyone,Medical,"July 16, 2018",4.4.3,4.0.3 and up,"[889,26432)"
Differential Equations Steps,FAMILY,0.0,1185,3.9M,"100,000+",Free,0,Everyone,Education,"April 11, 2017",5.3.0,4.0.3 and up,"[889,26432)"
