App,Category,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,review_group
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,197,3.4M,"50,000+",Free,0,Everyone,Auto & Vehicles,"June 14, 2018",1.3,4.0 and up,"[23, 889)"
Chat For Strangers - Video Chat,SOCIAL,622,Varies with device,"100,000+",Free,0,Mature 17+,Social,"May 23, 2018",Varies with device,Varies with device,"[23, 889)"
BK Manager,NEWS_AND_MAGAZINES,19,17M,"5,000+",Free,0,Everyone,News & Magazines,"December 19, 2017",1.0.2,4.4 and up,"[0, 23)"
My CookBook (Recipe Manager),FOOD_AND_DRINK,22071,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"June 29, 2018",Varies with device,Varies with device,"[889, 26432)"
EO LAC,LIFESTYLE,0,18M,10+,Free,0,Everyone,Lifestyle,"January 17, 2017",1.1,4.1 and up,"[0, 23)"
BU Syllabus,FAMILY,38,6.5M,"1,000+",Free,0,Everyone,Education,"September 21, 2017",1.0.3,4.0.3 and up,"[23, 889)"
AppBrain Ad Detector,TOOLS,9221,1.7M,"1,000,000+",Free,0,Everyone,Tools,"April 12, 2018",2.2.1,4.1 and up,"[889, 26432)"
"FirstCry Baby & Kids Shopping, Fashion & Parenting",SHOPPING,41074,16M,"5,000,000+",Free,0,Everyone,Shopping,"June 27, 2018",68,4.1 and up,[26432+)
Penny Finder,SHOPPING,470,4.1M,"10,000+",Paid,$2.99,Everyone,Shopping,"July 17, 2018",1.3.7,4.1 and up,"[23, 889)"
C.S. Lewis Daily Quotes,LIFESTYLE,75,11M,"10,000+",Free,0,Everyone,Lifestyle,"January 14, 2018",1.0.1,4.1 and up,"[23, 889)"
Flashlight,TOOLS,115409,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"August 6, 2018",Varies with device,Varies with device,[26432+)
WedMeGood - Wedding Planner,LIFESTYLE,1658,9.7M,"100,000+",Free,0,Everyone,Lifestyle,"July 31, 2018",2.0.9,4.4 and up,"[889, 26432)"
C by GE,LIFESTYLE,686,6.6M,"10,000+",Free,0,Everyone,Lifestyle,"July 11, 2018",4.1.07,4.3 and up,"[23, 889)"
Motorola Alert,TOOLS,24199,3.9M,"50,000,000+",Free,0,Everyone,Tools,"November 21, 2014",1.02.53,4.4 and up,"[889, 26432)"
RadRevision: Anatomy on CT,MEDICAL,568,42M,"50,000+",Free,0,Everyone,Medical,"January 22, 2014",1.2,4.0 and up,"[23, 889)"
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,87510,8.7M,"5,000,000+",Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,[26432+)
Angry Birds Space HD,GAME,43645,46M,"5,000,000+",Free,0,Everyone,Arcade,"May 25, 2018",2.2.13,4.1 and up,[26432+)
AQ Dentals,HEALTH_AND_FITNESS,0,12M,10+,Free,0,Everyone,Health & Fitness,"December 22, 2017",1.0.1,4.1 and up,"[0, 23)"
Az Video Status,FAMILY,13,6.0M,100+,Free,0,Everyone,Entertainment,"August 2, 2018",1.0.4,4.1 and up,"[0, 23)"
Video Download For FB,TOOLS,444,1.6M,"100,000+",Free,0,Everyone,Tools,"July 14, 2017",1.0,3.0 and up,"[23, 889)"
To Do Reminder with Alarm,PRODUCTIVITY,72161,4.9M,"1,000,000+",Free,0,Everyone,Productivity,"March 21, 2018",2.68.14,4.0 and up,[26432+)
TrueMoney Wallet,FINANCE,199684,18M,"5,000,000+",Free,0,Everyone,Finance,"July 19, 2018",Varies with device,Varies with device,[26432+)
Ultimate DM,FAMILY,0,Varies with device,10+,Free,0,Everyone,Role Playing,"March 10, 2018",Varies with device,Varies with device,"[0, 23)"
Adobe Photoshop Fix,PHOTOGRAPHY,28390,38M,"5,000,000+",Free,0,Everyone,Photography,"July 19, 2017",1.0.499,5.0 and up,[26432+)
DW Event,EVENTS,9,39M,"1,000+",Free,0,Everyone,Events,"May 29, 2018",2.32.2,4.1 and up,"[0, 23)"
"Breaking News, Local news, Attacks and Alerts Free",NEWS_AND_MAGAZINES,2543,6.3M,"500,000+",Free,0,Everyone,News & Magazines,"July 19, 2018",8.0.6,4.1 and up,"[889, 26432)"
MyMTN,PRODUCTIVITY,8550,15M,"1,000,000+",Free,0,Everyone,Productivity,"July 25, 2018",2.1.5,4.0 and up,"[889, 26432)"
AudioBT: BT audio GPS/SMS/Text,COMMUNICATION,198,219k,"50,000+",Free,0,Everyone,Communication,"February 21, 2017",3.2.1,4.0 and up,"[23, 889)"
Bu Hangi Youtuber ?,GAME,31,26M,"1,000+",Free,0,Everyone,Trivia,"August 31, 2017",3.2.2dk,4.0.3 and up,"[23, 889)"
Citibanamex Movil,FINANCE,52306,42M,"5,000,000+",Free,0,Everyone,Finance,"July 27, 2018",20.1.0,5.0 and up,[26432+)
CL-Phlebotomist,MEDICAL,19,7.3M,100+,Free,0,Everyone,Medical,"June 16, 2018",1.0.23,4.1 and up,"[0, 23)"
Dungeon Quest,FAMILY,244039,46M,"5,000,000+",Free,0,Everyone 10+,Role Playing,"June 4, 2018",3.0.5.2,4.0 and up,[26432+)
ZEDGE™ Ringtones & Wallpapers,PERSONALIZATION,6466641,Varies with device,"100,000,000+",Free,0,Teen,Personalization,"July 19, 2018",Varies with device,Varies with device,[26432+)
EG India,LIFESTYLE,3,4.0M,100+,Free,0,Everyone,Lifestyle,"July 29, 2018",1.1.3,4.0.3 and up,"[0, 23)"
Dr. Panda Restaurant 3,FAMILY,11126,91M,"1,000,000+",Free,0,Everyone,Educational;Pretend Play,"March 23, 2018",1.6.4,4.1 and up,"[889, 26432)"
SONIC Drive-In,FOOD_AND_DRINK,19314,43M,"1,000,000+",Free,0,Everyone,Food & Drink,"July 31, 2018",3.3.6,4.4 and up,"[889, 26432)"
U.S.A DV Lottery Process,FAMILY,8,1.7M,"1,000+",Free,0,Everyone,Education,"March 12, 2017",1.0,4.1 and up,"[0, 23)"
BG TV Program,FAMILY,1,2.8M,100+,Free,0,Everyone,Entertainment,"April 22, 2018",1.0,4.1 and up,"[0, 23)"
Bubble,TOOLS,31621,208k,"5,000,000+",Free,0,Everyone,Tools,"July 10, 2011",2.0.1,1.6 and up,[26432+)
Water Drink Reminder,HEALTH_AND_FITNESS,524299,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"June 29, 2018",Varies with device,Varies with device,[26432+)
C Programs Handbook,BOOKS_AND_REFERENCE,459,3.1M,"50,000+",Free,0,Everyone,Books & Reference,"November 16, 2017",2.2.3.3,4.0 and up,"[23, 889)"
YourTube Video Views BG,VIDEO_PLAYERS,8,2.5M,500+,Free,0,Everyone,Video Players & Editors,"November 12, 2015",1.1.1,4.0 and up,"[0, 23)"
We're Working Out - Al Kavadlo,HEALTH_AND_FITNESS,979,Varies with device,"50,000+",Free,0,Everyone,Health & Fitness,"December 24, 2017",Varies with device,Varies with device,"[889, 26432)"
Santa Fe Sentry,HOUSE_AND_HOME,0,5.3M,100+,Free,0,Everyone,House & Home,"August 7, 2017",1.6.0,4.1 and up,"[0, 23)"
Ninja FN Button,FAMILY,12,12M,"1,000+",Free,0,Teen,Entertainment,"July 4, 2018",1.1,4.0 and up,"[0, 23)"
Font Studio- Photo Texts Image,PHOTOGRAPHY,197295,24M,"10,000,000+",Free,0,Everyone,Photography,"June 23, 2017",4.0.7,4.0 and up,[26432+)
MDLIVE: Talk to a Doctor 24/7,MEDICAL,650,27M,"100,000+",Free,0,Everyone,Medical,"July 23, 2018",4.23.0,4.4 and up,"[23, 889)"
ZiraatBank BH,FINANCE,58,3.5M,"10,000+",Free,0,Everyone,Finance,"July 4, 2017",2.3.2,4.0 and up,"[23, 889)"
MUTV - Manchester United TV,SPORTS,4549,24M,"500,000+",Free,0,Everyone,Sports,"August 1, 2018",2.4.0,4.1 and up,"[889, 26432)"
AJ Orange Icon Pack,PERSONALIZATION,0,30M,10+,Paid,$0.99,Everyone,Personalization,"May 2, 2018",1.1,4.1 and up,"[0, 23)"
AppFinder by AppTap,TOOLS,2221,4.9M,"5,000,000+",Free,0,Everyone,Tools,"October 3, 2017",1.8.2.7,5.0 and up,"[889, 26432)"
San Andreas City : Auto Theft Car gangster,GAME,923,67M,"100,000+",Free,0,Teen,Action,"July 17, 2018",1.4,4.1 and up,"[889, 26432)"
A&W Restaurants,FOOD_AND_DRINK,14,13M,"1,000+",Free,0,Everyone,Food & Drink,"June 6, 2018",2.7.0,4.1 and up,"[0, 23)"
CI On The Go,NEWS_AND_MAGAZINES,2,14M,100+,Free,0,Everyone,News & Magazines,"July 18, 2018",v4.30.0.8,5.0 and up,"[0, 23)"
The Home Depot,SHOPPING,44071,56M,"5,000,000+",Free,0,Everyone,Shopping,"July 19, 2018",5.10,4.4 and up,[26432+)
Two Nights at jumpscare,GAME,596,91M,"100,000+",Free,0,Teen,Adventure,"August 17, 2017",1.0,4.1 and up,"[23, 889)"
Luxury Car Simulator,FAMILY,35989,46M,"1,000,000+",Free,0,Everyone,Simulation,"August 7, 2015",2.3,2.3.3 and up,[26432+)
AK 47 Guns Wallpaper,PERSONALIZATION,322,6.8M,"50,000+",Free,0,Everyone,Personalization,"May 29, 2017",1.0,4.1 and up,"[23, 889)"
Huntington Mobile,FINANCE,11264,24M,"1,000,000+",Free,0,Everyone,Finance,"June 26, 2018",5.2.203,4.2 and up,"[889, 26432)"
Fortune City - A Finance App,FINANCE,49275,91M,"500,000+",Free,0,Everyone,Finance,"July 17, 2018",2.0.3.1,4.4 and up,[26432+)
Teen Titans GO Figure!,FAMILY,1985,28M,"10,000+",Paid,$3.99,Everyone 10+,Action;Action & Adventure,"July 18, 2018",1.0.2,5.1 and up,"[889, 26432)"
BL!TZ - Endless,GAME,21,9.0M,100+,Free,0,Everyone,Arcade,"June 30, 2017",10.05,4.0.3 and up,"[0, 23)"
EH!,LIFESTYLE,10,8.7M,"1,000+",Free,0,Everyone,Lifestyle,"July 18, 2018",7.2.2,4.1 and up,"[0, 23)"
HD VideoDownlaoder For Fb : XXVideo Downloader,VIDEO_PLAYERS,61,6.1M,"10,000+",Free,0,Everyone,Video Players & Editors,"July 30, 2018",1.0.3,4.0.3 and up,"[23, 889)"
Blood Pressure(BP) Diary,MEDICAL,3596,8.4M,"1,000,000+",Free,0,Everyone,Medical,"July 18, 2018",4.0.9,4.0.3 and up,"[889, 26432)"
Darkness Rises,FAMILY,456474,86M,"5,000,000+",Free,0,Teen,Role Playing,"July 24, 2018",1.2.0,4.4 and up,[26432+)
QRZ Assistant,COMMUNICATION,1044,3.5M,"100,000+",Free,0,Everyone,Communication,"May 30, 2018",2.0,4.4 and up,"[889, 26432)"
Wanelo Shopping,SHOPPING,94205,6.5M,"1,000,000+",Free,0,Everyone,Shopping,"June 13, 2018",5.6.8,4.4 and up,[26432+)
No.Draw - Colors by Number 2018,ENTERTAINMENT,235496,13M,"10,000,000+",Free,0,Everyone,Entertainment;Brain Games,"July 29, 2018",1.2.0,4.1 and up,[26432+)
Piano Tiles 2™,GAME,8118880,Varies with device,"100,000,000+",Free,0,Everyone,Arcade,"August 3, 2018",3.1.0.226,4.1 and up,[26432+)
The Gang Sniper V. Pocket Edition.,GAME,6121,61M,"500,000+",Free,0,Mature 17+,Action,"June 20, 2018",2.1,4.1 and up,"[889, 26432)"
Bingo Party - Free Bingo Games,GAME,155694,92M,"1,000,000+",Free,0,Teen,Board,"July 13, 2018",2.1.1,4.0.3 and up,[26432+)
Smashy Road: Arena,GAME,45558,53M,"5,000,000+",Free,0,Everyone 10+,Action,"May 24, 2018",1.1.9,4.1 and up,[26432+)
Alarm.fo – choose your info,SOCIAL,19,3.1M,"1,000+",Free,0,Everyone,Social,"May 29, 2018",1.4.8,4.1 and up,"[0, 23)"
PlacarTv Futebol Ao Vivo,COMMUNICATION,2063,4.5M,"100,000+",Free,0,Everyone,Communication,"June 3, 2018",1.0.3,4.0 and up,"[889, 26432)"
DH News,NEWS_AND_MAGAZINES,81,6.7M,"10,000+",Free,0,Mature 17+,News & Magazines,"November 27, 2017",3.4.5,4.0.3 and up,"[23, 889)"
Cy's Elma Pharmacy,HEALTH_AND_FITNESS,0,9.4M,10+,Free,0,Everyone 10+,Health & Fitness,"June 28, 2018",7.4.8,4.0.3 and up,"[0, 23)"
Mingle - Online Dating App to Chat & Meet People,DATING,15081,38M,"1,000,000+",Free,0,Mature 17+,Dating,"July 26, 2018",4.7.6,4.1 and up,"[889, 26432)"
Delta Dental,MEDICAL,914,Varies with device,"100,000+",Free,0,Everyone,Medical,"July 17, 2018",4.6.0,5.0 and up,"[889, 26432)"
Siren Ringtones,PERSONALIZATION,42190,11M,"5,000,000+",Free,0,Teen,Personalization,"July 8, 2018",Varies with device,Varies with device,[26432+)
TFO BZ Lessons,FAMILY,75,3.7M,500+,Free,0,Everyone,Education,"April 28, 2017",2.1.1,4.1 and up,"[23, 889)"
Ham DX Cluster & Spots Finder,COMMUNICATION,115,2.8M,"5,000+",Free,0,Everyone,Communication,"July 15, 2016",1.4.4,4.1 and up,"[23, 889)"
Speed Car CM Locker Theme,PERSONALIZATION,7519,4.0M,"500,000+",Free,0,Everyone,Personalization,"January 26, 2016",1.0.1,4.0 and up,"[889, 26432)"
Be My Princess: PARTY,FAMILY,9443,21M,"100,000+",Free,0,Teen,Simulation,"December 12, 2016",1.8.0,4.0.3 and up,"[889, 26432)"
Vimeo,FAMILY,85578,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"August 1, 2018",Varies with device,Varies with device,[26432+)
Ay Telekom Oim,LIFESTYLE,6,13M,100+,Free,0,Everyone,Lifestyle,"February 17, 2018",1.0.2,4.1 and up,"[0, 23)"
OMEGA Black UI Theme - CM 12+,PERSONALIZATION,12,19M,100+,Paid,$0.99,Everyone,Personalization,"August 20, 2015",1.0,5.0 and up,"[0, 23)"
Car Parking Game 3D - Real City Driving Challenge,FAMILY,187892,40M,"5,000,000+",Free,0,Everyone,Simulation,"May 10, 2018",1.2.0,4.0 and up,[26432+)
FotMob - Live Soccer Scores,SPORTS,410384,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"July 31, 2018",Varies with device,Varies with device,[26432+)
Mod GTA V for MCPE,FAMILY,4288,10M,"500,000+",Free,0,Everyone,Entertainment,"April 23, 2018",1.2.3.4.5,4.0.3 and up,"[889, 26432)"
Ad Removal: thereisonlywe,PRODUCTIVITY,16,293k,100+,Paid,$6.49,Everyone,Productivity,"May 3, 2014",1.0,2.2 and up,"[0, 23)"
Subway Simulator 3D,FAMILY,25489,62M,"1,000,000+",Free,0,Everyone,Simulation,"August 6, 2018",2.9.0,4.1 and up,"[889, 26432)"
Dr. Panda Town,FAMILY,36578,Varies with device,"1,000,000+",Free,0,Everyone,Education;Pretend Play,"August 3, 2018",Varies with device,Varies with device,[26432+)
"CM Security Open VPN - Free, fast unlimited proxy",TOOLS,85496,5.8M,"1,000,000+",Free,0,Everyone,Tools,"February 14, 2018",1.6.2,4.0.3 and up,[26432+)
X-ray scanner simulator,FAMILY,1616,3.0M,"500,000+",Free,0,Everyone,Casual,"January 8, 2017",7.0,2.1 and up,"[889, 26432)"
Granny,GAME,1135631,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,[26432+)
Microsoft News,NEWS_AND_MAGAZINES,31504,31M,"1,000,000+",Free,0,Everyone 10+,News & Magazines,"July 30, 2018",18.201.01,5.0 and up,[26432+)
Unseen - No Last Seen,TOOLS,103909,9.2M,"5,000,000+",Free,0,Everyone,Tools,"May 11, 2018",2.2.7,4.3 and up,[26432+)
BN Pro RobotoXL HD Text,LIBRARIES_AND_DEMO,15,460k,"1,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up,"[0, 23)"
The FN HP pistol explained,BOOKS_AND_REFERENCE,1,8.5M,10+,Paid,$6.49,Everyone,Books & Reference,"September 6, 2015",Android 3.0 - 2015,1.6 and up,"[0, 23)"
ai.type Free Emoji Keyboard,PERSONALIZATION,647844,Varies with device,"10,000,000+",Free,0,Everyone,Personalization,"July 24, 2018",Varies with device,Varies with device,[26432+)
H TV,ENTERTAINMENT,103078,5.6M,"5,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",4.6.2,2.3.3 and up,[26432+)
Mupen64Plus AE (N64 Emulator),GAME,4569,12M,"100,000+",Paid,$0.99,Everyone,Arcade,"January 19, 2014",2.4.4,2.0 and up,"[889, 26432)"
My Emma :),FAMILY,245839,76M,"10,000,000+",Free,0,Everyone,Casual,"April 3, 2017",2.7.0,4.1 and up,[26432+)
P Theme for Android™ P 9.0 Style Launcher,PERSONALIZATION,216,5.7M,"50,000+",Free,0,Everyone,Personalization,"April 13, 2018",1.4,4.1 and up,"[23, 889)"
"Mint: Budget, Bills, Finance",FINANCE,129304,Varies with device,"5,000,000+",Free,0,Everyone,Finance,"August 2, 2018",Varies with device,Varies with device,[26432+)
Terminal Emulator for Android,TOOLS,113951,551k,"10,000,000+",Free,0,Everyone,Tools,"April 15, 2015",1.0.70,1.6 and up,[26432+)
CQ-Alert,COMMUNICATION,3,8.1M,500+,Free,0,Everyone,Communication,"November 28, 2016",5.5.0,4.0 and up,"[0, 23)"
Virtual Boyfriend Chat,FAMILY,407,306k,"50,000+",Free,0,Mature 17+,Entertainment,"April 11, 2017",1.0,2.2 and up,"[23, 889)"
Melior NUI - Material CM Theme,PERSONALIZATION,1873,14M,"100,000+",Free,0,Everyone,Personalization,"November 7, 2016",Varies with device,Varies with device,"[889, 26432)"
Barcode Scanner,LIBRARIES_AND_DEMO,3945,9.4M,"500,000+",Free,0,Everyone,Libraries & Demo,"January 9, 2018",4.2.2,3.2 and up,"[889, 26432)"
Jewels Legend - Match 3 Puzzle,GAME,280098,50M,"10,000,000+",Free,0,Everyone,Arcade,"July 20, 2018",2.11.2,4.0.3 and up,[26432+)
Cy-Fair Houston Chamber,BUSINESS,0,5.0M,5+,Free,0,Everyone,Business,"June 6, 2018",4.1.239,4.1 and up,"[0, 23)"
Exam Result BD,FAMILY,2,2.6M,500+,Free,0,Everyone,Education,"July 22, 2017",1.0,3.2 and up,"[0, 23)"
Fix Deposit Calculator (FD),FINANCE,7,2.1M,"1,000+",Free,0,Everyone,Finance,"February 6, 2018",1.0,4.0.3 and up,"[0, 23)"
SnipSnap Coupon App,SHOPPING,9975,18M,"1,000,000+",Free,0,Everyone,Shopping,"January 22, 2018",1.4,4.3 and up,"[889, 26432)"
Dentist Surgery ER Emergency Doctor Hospital Games,FAMILY,2580,53M,"100,000+",Free,0,Everyone,Simulation,"July 6, 2018",10,4.1 and up,"[889, 26432)"
NinJump,GAME,421000,36M,"10,000,000+",Free,0,Everyone,Arcade,"June 13, 2018",3.1.1,4.1 and up,[26432+)
HBO GO: Stream with TV Package,ENTERTAINMENT,87723,32M,"10,000,000+",Free,0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up,[26432+)
YouTube Gaming,ENTERTAINMENT,130549,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"June 27, 2018",2.08.78.2,4.1 and up,[26432+)
DT,LIFESTYLE,0,8.9M,100+,Free,0,Everyone,Lifestyle,"July 24, 2018",7.2.2,4.1 and up,"[0, 23)"
ES Chromecast plugin,LIBRARIES_AND_DEMO,23859,860k,"1,000,000+",Free,0,Everyone,Libraries & Demo,"October 29, 2014",1.0,4.0 and up,"[889, 26432)"
"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,216388,19M,"10,000,000+",Free,0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,[26432+)
Deep Breathe BP,HEALTH_AND_FITNESS,26,12M,"1,000+",Free,0,Everyone,Health & Fitness,"June 9, 2018",1.0,4.1 and up,"[23, 889)"
Room Creator Interior Design,HOUSE_AND_HOME,59660,72M,"1,000,000+",Free,0,Everyone,House & Home,"March 14, 2017",3.4,2.3 and up,[26432+)
AK 47 Lock Screen,PERSONALIZATION,5,8.8M,500+,Free,0,Mature 17+,Personalization,"February 11, 2018",1.0,4.0.3 and up,"[0, 23)"
EP Joaillerie,LIFESTYLE,54,21M,"5,000+",Free,0,Teen,Lifestyle,"March 28, 2018",4.0.2,4.0.3 and up,"[23, 889)"
Dr. Panda Supermarket,FAMILY,1357,58M,"50,000+",Paid,$2.99,Everyone,Educational;Pretend Play,"February 16, 2016",1.6,4.0 and up,"[889, 26432)"
BV Teknisk App,BUSINESS,0,2.0M,50+,Free,0,Everyone,Business,"January 15, 2016",4.1.2099,4.0 and up,"[0, 23)"
Br. Parking - Busy road Parking 3D 2018,FAMILY,41,30M,"5,000+",Free,0,Everyone,Simulation,"January 13, 2018",1.01,4.1 and up,"[23, 889)"
K-Otic Universe,FAMILY,55,40M,"1,000+",Free,0,Everyone,Puzzle,"August 3, 2018",108,4.1 and up,"[23, 889)"
BI Mobile,FINANCE,337,3.3M,"10,000+",Free,0,Everyone,Finance,"March 15, 2018",1.0,4.0.3 and up,"[23, 889)"
Truck Driver Cargo,GAME,257531,44M,"10,000,000+",Free,0,Everyone 10+,Racing,"January 18, 2018",7,4.1 and up,[26432+)
Live 3D Neon Blue Love Heart Keyboard Theme,PERSONALIZATION,6626,9.1M,"1,000,000+",Free,0,Everyone,Personalization,"July 25, 2018",6.7.25.2018,4.0.3 and up,"[889, 26432)"
Calculator Plus Free,TOOLS,679912,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"July 27, 2018",Varies with device,Varies with device,[26432+)
HTC Gallery,VIDEO_PLAYERS,45744,Varies with device,"10,000,000+",Free,0,Everyone,Video Players & Editors,"June 3, 2016",9.51.755029,4.4 and up,[26432+)
DB Ultra Saiyan Battle,GAME,33,44M,"1,000+",Free,0,Everyone 10+,Action,"July 25, 2018",1.3.7,2.3 and up,"[23, 889)"
One Today by Google,LIFESTYLE,2586,9.4M,"100,000+",Free,0,Everyone,Lifestyle,"December 17, 2015",1.9.0.110162364,4.0.3 and up,"[889, 26432)"
Rande.cz,SOCIAL,398,2.2M,"50,000+",Free,0,Mature 17+,Social,"December 3, 2014",1.0.1,2.3.3 and up,"[23, 889)"
MARCA - Sports Leader Diary,SPORTS,76346,14M,"5,000,000+",Free,0,Everyone,Sports,"July 25, 2018",6.3.3,4.1 and up,[26432+)
SportLook,PHOTOGRAPHY,1283,8.2M,"100,000+",Free,0,Everyone,Photography,"June 21, 2018",1.2.7,4.1 and up,"[889, 26432)"
mysms SMS Text Messaging Sync,COMMUNICATION,37320,8.4M,"1,000,000+",Free,0,Everyone,Communication,"July 30, 2018",6.5.1,4.0.3 and up,[26432+)
Channel U,FAMILY,34,14M,"1,000+",Free,0,Everyone,Entertainment,"May 21, 2018",1.3,4.1 and up,"[23, 889)"
Educational Games for Kids,FAMILY,7050,24M,"1,000,000+",Free,0,Everyone,Educational;Education,"May 27, 2018",2.0,4.0 and up,"[889, 26432)"
SkyLove – Dating and chat,DATING,69,36M,"5,000+",Free,0,Mature 17+,Dating,"August 4, 2018",1.0.82,4.4 and up,"[23, 889)"
Aproveita DF,LIFESTYLE,0,3.3M,1+,Free,0,Everyone,Lifestyle,"August 2, 2018",1.0,4.0 and up,"[0, 23)"
Critical Care Paramedic Review,MEDICAL,17,1.8M,"1,000+",Paid,$9.99,Everyone 10+,Medical,"May 14, 2018",2.0.5,4.4W and up,"[0, 23)"
Workout Tracker & Gym Trainer - Fitness Log Book,HEALTH_AND_FITNESS,5420,21M,"500,000+",Free,0,Everyone,Health & Fitness,"June 5, 2018",2.48.3,4.1 and up,"[889, 26432)"
Truyện Vui Tý Quậy,COMICS,144,4.7M,"10,000+",Free,0,Everyone,Comics,"July 19, 2018",3.0,4.0.3 and up,"[23, 889)"
Ebook Reader,BOOKS_AND_REFERENCE,85842,37M,"5,000,000+",Free,0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,[26432+)
Zapzapmath: K-6 Math Games,FAMILY,1065,61M,"100,000+",Free,0,Everyone,Educational;Education,"May 13, 2018",4.1.10,4.1 and up,"[889, 26432)"
be'ah,HEALTH_AND_FITNESS,5,5.7M,10+,Free,0,Everyone,Health & Fitness,"March 28, 2018",1.0,2.3 and up,"[0, 23)"
Real Sheet ∞: Pathfinder + DT,FAMILY,2,22M,50+,Paid,$2.99,Everyone,Role Playing,"March 20, 2017",1.1,4.2 and up,"[0, 23)"
EvAk Smart Home,LIFESTYLE,14,Varies with device,500+,Free,0,Everyone,Lifestyle,"March 13, 2018",1.1.1,4.1 and up,"[0, 23)"
LinkedIn,SOCIAL,1225339,Varies with device,"100,000,000+",Free,0,Everyone,Social,"August 2, 2018",4.1.202,5.0 and up,[26432+)
Futbol24,SPORTS,31908,Varies with device,"1,000,000+",Free,0,Everyone,Sports,"September 27, 2017",Varies with device,Varies with device,[26432+)
CD CHOICE TUBE,FAMILY,10,5.8M,500+,Free,0,Everyone,Entertainment,"July 23, 2017",0.0.4,4.1 and up,"[0, 23)"
Kids Learn Languages by Mondly,EDUCATION,2078,Varies with device,"100,000+",Free,0,Everyone,Education;Education,"December 24, 2017",1.0.2,4.1 and up,"[889, 26432)"
Learn R Programming Full,BOOKS_AND_REFERENCE,11,9.2M,"5,000+",Free,0,Everyone,Books & Reference,"January 30, 2018",1.5,5.0 and up,"[0, 23)"
Moto Z Market,TOOLS,605,3.8M,"1,000,000+",Free,0,Everyone,Tools,"December 18, 2017",02.02.0045,5.0 and up,"[23, 889)"
Authy 2-Factor Authentication,TOOLS,15070,6.3M,"1,000,000+",Free,0,Everyone,Tools,"July 30, 2018",23.2.7,4.0.3 and up,"[889, 26432)"
Daddyhunt: Gay Dating,SOCIAL,6450,14M,"500,000+",Free,0,Mature 17+,Social,"January 22, 2018",1.3.5,4.0 and up,"[889, 26432)"
O'Route Orienteering,SPORTS,6,1.3M,100+,Paid,$3.02,Everyone,Sports,"December 27, 2017",2.0.5,3.0 and up,"[0, 23)"
3D DJ – Music Mixer with Virtual DJ,FAMILY,796,28M,"100,000+",Free,0,Everyone,Entertainment,"July 3, 2018",6.6.8,5.0 and up,"[23, 889)"
PJ Masks: HQ,FAMILY,13731,55M,"1,000,000+",Free,0,Everyone,Entertainment;Action & Adventure,"June 22, 2018",1.2.1,4.0 and up,"[889, 26432)"
"Bleacher Report: sports news, scores, & highlights",SPORTS,122282,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,[26432+)
Checkers ✔️,FAMILY,3617,19M,"1,000,000+",Free,0,Everyone,Board;Brain Games,"July 24, 2018",4.0.2,4.1 and up,"[889, 26432)"
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,64713,58M,"1,000,000+",Free,0,Everyone,Travel & Local,"June 9, 2018",10.9.8 (Play),5.0 and up,[26432+)
Shoulder Surgery ER Emergency Doctor Game,FAMILY,55,46M,"10,000+",Free,0,Teen,Educational,"November 7, 2017",1.0.1,4.0 and up,"[23, 889)"
Euro Truck Driver (Simulator),FAMILY,860078,30M,"10,000,000+",Free,0,Everyone,Simulation,"February 15, 2018",1.6.0,4.1 and up,[26432+)
Blood Pressure Log - bpresso.com,MEDICAL,5661,Varies with device,"500,000+",Free,0,Everyone,Medical,"April 19, 2017",Varies with device,Varies with device,"[889, 26432)"
ES Holo Theme for Pro,PRODUCTIVITY,4737,1.7M,"500,000+",Free,0,Everyone,Productivity,"November 26, 2015",2.0.3,2.0 and up,"[889, 26432)"
Dance On Mobile,FAMILY,23609,31M,"1,000,000+",Free,0,Teen,Casual,"April 13, 2018",1.26,4.0 and up,"[889, 26432)"
